transaction_id,transaction_date,customer_id,product_id,count,sales,shipping_date,cancellation_date,status
201904010000-1,2019-04-01,C-001213,CANB3,3,449400,2019-04-12,,配達済み
201904010003-1,2019-04-01,C-001572,ID16,1,16300,2019-04-09,,配達済み
201904030001-1,2019-04-03,C-002610,INDB5,3,464400,2019-04-12,,配達済み
201904030001-2,2019-04-03,C-002610,IKW,6,22686,2019-04-14,,配達済み
201904040006-1,2019-04-04,C-001267,ZENB9,6,1679400,2019-04-15,,配達済み
201904040008-1,2019-04-04,C-001847,CADB3,3,524700,2019-04-15,,配達済み
201904040010-1,2019-04-04,C-002604,CANB3,2,299600,2019-04-18,,配達済み
201904040011-1,2019-04-04,C-003126,CANB1,2,259600,2019-04-16,,配達済み
201904040013-1,2019-04-04,C-003247,PUNS3,3,296220,2019-04-14,,配達済み
201904050000-1,2019-04-05,C-000934,INDB5,1,154800,2019-04-17,,配達済み
201904050003-1,2019-04-05,C-002334,TADB3,2,90684,2019-04-14,,配達済み
201904060000-1,2019-04-06,C-000259,IMU,1,1230,2019-04-18,,配達済み
201904060001-1,2019-04-06,C-001106,CANB13,1,349800,2019-04-12,,配達済み
201904060002-1,2019-04-06,C-001690,ZEDB5,3,536700,2019-04-12,,配達済み
201904060005-1,2019-04-06,C-002008,INNG3,5,684000,2019-04-12,,配達済み
201904060008-1,2019-04-06,C-002109,INNS5,3,479400,2019-04-14,,配達済み
201904100001-1,2019-04-10,C-001386,TADB5,2,248684,2019-04-19,,配達済み
201904100003-1,2019-04-10,C-001601,INDB9,0,0,2019-04-20,,配達済み
201904100005-1,2019-04-10,C-002990,TADB5,2,248684,2019-04-21,,配達済み
201904100007-1,2019-04-10,C-003056,INNS5,2,319600,2019-04-20,,配達済み
201904120000-1,2019-04-12,C-000073,ID16,8,130400,2019-04-19,,配達済み
201904120002-1,2019-04-12,C-001134,ZENB7,0,0,2019-04-19,,配達済み
201904120003-1,2019-04-12,C-001450,VEDB5,2,449600,2019-04-19,,配達済み
201904120005-1,2019-04-12,C-003787,CANB9,2,519600,2019-04-18,,配達済み
201904130000-1,2019-04-13,C-002606,PUDB3,1,89940,2019-04-19,,配達済み
201904130001-1,2019-04-13,C-002761,CANB11,1,289900,2019-04-20,,配達済み
201904130004-1,2019-04-13,C-002793,CADB11,1,364800,2019-04-21,,配達済み
201904130006-1,2019-04-13,C-003279,VENB7,4,1239200,2019-04-20,,配達済み
201904180001-1,2019-04-18,C-000999,TADB5,3,373026,2019-04-26,,配達済み
201904180002-1,2019-04-18,C-002957,IMW,3,7611,2019-04-29,,配達済み
201904200002-1,2019-04-20,C-000190,VEDB3,4,739200,2019-05-03,,配達済み
201904200003-1,2019-04-20,C-001279,CANB11,1,289900,2019-05-01,,配達済み
201904210001-1,2019-04-21,C-000777,VEDB17,4,4399200,2019-04-28,,配達済み
201904250000-1,2019-04-25,C-000288,PUNR3,1,98740,2019-05-05,,配達済み
201904250003-1,2019-04-25,C-000382,VEDB9,3,1138200,2019-05-04,,配達済み
201904250003-2,2019-04-25,C-000382,ZEDB5,2,357800,2019-05-07,,配達済み
201904250003-3,2019-04-25,C-000382,ZENB5,4,695200,2019-05-07,,配達済み
201904250004-1,2019-04-25,C-000452,INDB1,10,948000,2019-05-04,,配達済み
201904250005-1,2019-04-25,C-002056,VEDB3,1,184800,2019-05-03,,配達済み
201904250009-1,2019-04-25,C-002515,CADB9,2,639600,2019-05-07,,配達済み
201904250010-1,2019-04-25,C-002809,CANB11,3,869700,2019-05-04,,配達済み
201904250011-1,2019-04-25,C-003782,ZEDB3,3,467400,2019-05-05,,配達済み
201904280003-1,2019-04-28,C-000222,INNS5,4,639200,2019-05-07,,配達済み
201904280003-2,2019-04-28,C-000222,VENB9,4,1479200,2019-05-05,,配達済み
201904280005-1,2019-04-28,C-001179,CADB9,12,3837600,2019-05-06,,配達済み
201904280006-1,2019-04-28,C-001339,TADB3,4,181368,2019-05-04,,配達済み
201904280008-1,2019-04-28,C-001341,VEDB7,1,228900,2019-05-07,,配達済み
201904280010-1,2019-04-28,C-001538,TADB3,1,45342,2019-05-05,2019-05-09,キャンセル
201904280011-1,2019-04-28,C-001607,INNB3,1,126800,2019-05-05,,配達済み
201904280012-1,2019-04-28,C-001642,VEDB9,1,379400,2019-05-07,,配達済み
201904280015-1,2019-04-28,C-002369,IKU,2,5662,2019-05-07,,配達済み
201904290001-1,2019-04-29,C-001724,VEDB5,2,449600,2019-05-09,,配達済み
201904290004-1,2019-04-29,C-002809,INNB9,5,1099000,2019-05-05,,配達済み
201904290005-1,2019-04-29,C-003725,VENB5,23,6205400,2019-05-10,,配達済み
201905020000-1,2019-05-02,C-000515,CANB13,1,349800,2019-05-14,,配達済み
201905020003-1,2019-05-02,C-000685,PUDB3,2,179880,2019-05-14,,配達済み
201905020004-1,2019-05-02,C-001072,IKW,2,7562,2019-05-13,,配達済み
201905020005-1,2019-05-02,C-001076,INNG3,1,136800,2019-05-10,,配達済み
201905020006-1,2019-05-02,C-001082,ZENB3,1,154800,2019-05-15,,配達済み
201905020007-1,2019-05-02,C-001896,INNG9,3,689400,2019-05-14,,配達済み
201905020008-1,2019-05-02,C-002086,IKW,3,11343,2019-05-11,,配達済み
201905020014-1,2019-05-02,C-002532,INNS7,1,181800,2019-05-13,,配達済み
201905020015-1,2019-05-02,C-002735,VEDB3,4,739200,2019-05-08,,配達済み
201905020019-1,2019-05-02,C-002863,INDB3,10,1168000,2019-05-12,,配達済み
201905030000-1,2019-05-03,C-000170,TADB1,0,0,2019-05-12,,配達済み
201905030001-1,2019-05-03,C-001227,CADB9,3,959400,2019-05-14,2019-05-19,キャンセル
201905030003-1,2019-05-03,C-001935,CADB11,1,364800,2019-05-10,,配達済み
201905030005-1,2019-05-03,C-002510,PUNR1,1,67800,2019-05-10,,配達済み
201905030009-1,2019-05-03,C-002534,CANB11,0,0,2019-05-14,,配達済み
201905030013-1,2019-05-03,C-002977,PUNR3,2,197480,2019-05-08,,配達済み
201905030015-1,2019-05-03,C-003335,ZEDB9,1,256400,2019-05-09,,配達済み
201905030016-1,2019-05-03,C-003561,CADB9,3,959400,2019-05-16,,配達済み
201905030017-1,2019-05-03,C-003610,INNB7,0,0,2019-05-13,,配達済み
201905040000-1,2019-05-04,C-000267,INDB9,2,433600,2019-05-12,,配達済み
201905040001-1,2019-05-04,C-000614,VEDB13,1,584800,2019-05-14,,配達済み
201905040001-2,2019-05-04,C-000614,ZENB7,4,925600,2019-05-14,,配達済み
201905040004-1,2019-05-04,C-002448,INDB1,2,189600,2019-05-15,,配達済み
201905040005-1,2019-05-04,C-002763,INNS5,1,159800,2019-05-14,,配達済み
201905040008-1,2019-05-04,C-003229,INNG3,2,273600,2019-05-13,,配達済み
201905040010-1,2019-05-04,C-003529,INNB7,3,545400,2019-05-13,,配達済み
201905050002-1,2019-05-05,C-000420,INNG3,2,273600,2019-05-13,,配達済み
201905050003-1,2019-05-05,C-000960,INDB7,2,369600,2019-05-14,,配達済み
