payment_date,price,payment_year,payment_month,payment_week,payment_day
2019-02-01,3585000,2019,2,5,Friday
2019-02-02,3895000,2019,2,5,Saturday
2019-02-03,4845000,2019,2,5,Sunday
2019-02-04,6430000,2019,2,6,Monday
2019-02-05,5670000,2019,2,6,Tuesday
2019-02-06,5270000,2019,2,6,Wednesday
2019-02-07,6795000,2019,2,6,Thursday
2019-02-08,9420000,2019,2,6,Friday
2019-02-09,6950000,2019,2,6,Saturday
2019-02-10,6350000,2019,2,6,Sunday
2019-02-11,6210000,2019,2,7,Monday
2019-02-12,5710000,2019,2,7,Tuesday
2019-02-13,5925000,2019,2,7,Wednesday
2019-02-14,5850000,2019,2,7,Thursday
2019-02-15,4970000,2019,2,7,Friday
2019-02-16,6115000,2019,2,7,Saturday
2019-02-17,5860000,2019,2,7,Sunday
2019-02-18,10475000,2019,2,8,Monday
2019-02-19,6415000,2019,2,8,Tuesday
2019-02-20,4520000,2019,2,8,Wednesday
2019-02-21,5690000,2019,2,8,Thursday
2019-02-22,8205000,2019,2,8,Friday
2019-02-23,5350000,2019,2,8,Saturday
2019-02-24,10110000,2019,2,8,Sunday
2019-02-25,8405000,2019,2,9,Monday
2019-02-26,7440000,2019,2,9,Tuesday
2019-02-27,7155000,2019,2,9,Wednesday
2019-02-28,5575000,2019,2,9,Thursday
2019-03-01,6345000,2019,3,9,Friday
2019-03-02,6070000,2019,3,9,Saturday
2019-03-03,5945000,2019,3,9,Sunday
2019-03-04,2730000,2019,3,10,Monday
2019-03-05,5215000,2019,3,10,Tuesday
2019-03-06,5005000,2019,3,10,Wednesday
2019-03-07,7110000,2019,3,10,Thursday
2019-03-08,6805000,2019,3,10,Friday
2019-03-09,5495000,2019,3,10,Saturday
2019-03-10,5205000,2019,3,10,Sunday
2019-03-11,4000000,2019,3,11,Monday
2019-03-12,4790000,2019,3,11,Tuesday
2019-03-13,4910000,2019,3,11,Wednesday
2019-03-14,6135000,2019,3,11,Thursday
2019-03-15,5825000,2019,3,11,Friday
2019-03-16,5800000,2019,3,11,Saturday
2019-03-17,5155000,2019,3,11,Sunday
2019-03-18,5065000,2019,3,12,Monday
2019-03-19,6880000,2019,3,12,Tuesday
2019-03-20,7735000,2019,3,12,Wednesday
2019-03-21,6060000,2019,3,12,Thursday
2019-03-22,6115000,2019,3,12,Friday
2019-03-23,5185000,2019,3,12,Saturday
2019-03-24,3475000,2019,3,12,Sunday
2019-03-25,4140000,2019,3,13,Monday
2019-03-26,5295000,2019,3,13,Tuesday
2019-03-27,7100000,2019,3,13,Wednesday
2019-03-28,8145000,2019,3,13,Thursday
2019-03-29,5250000,2019,3,13,Friday
2019-03-30,6935000,2019,3,13,Saturday
2019-03-31,5455000,2019,3,13,Sunday
2019-04-01,5840000,2019,4,14,Monday
2019-04-02,5300000,2019,4,14,Tuesday
2019-04-03,4545000,2019,4,14,Wednesday
2019-04-04,6585000,2019,4,14,Thursday
2019-04-05,6480000,2019,4,14,Friday
2019-04-06,4640000,2019,4,14,Saturday
2019-04-07,4835000,2019,4,14,Sunday
2019-04-08,4225000,2019,4,15,Monday
2019-04-09,6565000,2019,4,15,Tuesday
2019-04-10,4845000,2019,4,15,Wednesday
2019-04-11,6690000,2019,4,15,Thursday
2019-04-12,9295000,2019,4,15,Friday
2019-04-13,5595000,2019,4,15,Saturday
2019-04-14,6590000,2019,4,15,Sunday
2019-04-15,6015000,2019,4,16,Monday
2019-04-16,4675000,2019,4,16,Tuesday
2019-04-17,8300000,2019,4,16,Wednesday
2019-04-18,4605000,2019,4,16,Thursday
2019-04-19,5345000,2019,4,16,Friday
2019-04-20,7900000,2019,4,16,Saturday
2019-04-21,6095000,2019,4,16,Sunday
2019-04-22,5245000,2019,4,17,Monday
2019-04-23,6205000,2019,4,17,Tuesday
2019-04-24,3660000,2019,4,17,Wednesday
2019-04-25,7455000,2019,4,17,Thursday
2019-04-26,3725000,2019,4,17,Friday
2019-04-27,7085000,2019,4,17,Saturday
2019-04-28,5935000,2019,4,17,Sunday
2019-04-29,4470000,2019,4,18,Monday
2019-04-30,7975000,2019,4,18,Tuesday
2019-05-01,6850000,2019,5,18,Wednesday
2019-05-02,7360000,2019,5,18,Thursday
2019-05-03,5550000,2019,5,18,Friday
2019-05-04,6230000,2019,5,18,Saturday
2019-05-05,4915000,2019,5,18,Sunday
2019-05-06,4930000,2019,5,19,Monday
2019-05-07,2595000,2019,5,19,Tuesday
2019-05-08,6460000,2019,5,19,Wednesday
2019-05-09,4995000,2019,5,19,Thursday
2019-05-10,6580000,2019,5,19,Friday
2019-05-11,3480000,2019,5,19,Saturday
2019-05-12,7545000,2019,5,19,Sunday
2019-05-13,4345000,2019,5,20,Monday
2019-05-14,6715000,2019,5,20,Tuesday
2019-05-15,7235000,2019,5,20,Wednesday
2019-05-16,4410000,2019,5,20,Thursday
2019-05-17,4915000,2019,5,20,Friday
2019-05-18,5180000,2019,5,20,Saturday
2019-05-19,7390000,2019,5,20,Sunday
2019-05-20,5325000,2019,5,21,Monday
2019-05-21,4065000,2019,5,21,Tuesday
2019-05-22,3590000,2019,5,21,Wednesday
2019-05-23,5255000,2019,5,21,Thursday
2019-05-24,6495000,2019,5,21,Friday
2019-05-25,2935000,2019,5,21,Saturday
2019-05-26,5250000,2019,5,21,Sunday
2019-05-27,6365000,2019,5,22,Monday
2019-05-28,7770000,2019,5,22,Tuesday
2019-05-29,5265000,2019,5,22,Wednesday
2019-05-30,7635000,2019,5,22,Thursday
2019-05-31,3755000,2019,5,22,Friday
2019-06-01,4665000,2019,6,22,Saturday
2019-06-02,5330000,2019,6,22,Sunday
2019-06-03,5945000,2019,6,23,Monday
2019-06-04,5065000,2019,6,23,Tuesday
2019-06-05,5770000,2019,6,23,Wednesday
2019-06-06,4775000,2019,6,23,Thursday
2019-06-07,6845000,2019,6,23,Friday
2019-06-08,7220000,2019,6,23,Saturday
2019-06-09,6105000,2019,6,23,Sunday
2019-06-10,4050000,2019,6,24,Monday
2019-06-11,4710000,2019,6,24,Tuesday
2019-06-12,7545000,2019,6,24,Wednesday
2019-06-13,7545000,2019,6,24,Thursday
2019-06-14,5550000,2019,6,24,Friday
2019-06-15,5975000,2019,6,24,Saturday
2019-06-16,6480000,2019,6,24,Sunday
2019-06-17,4925000,2019,6,25,Monday
2019-06-18,7110000,2019,6,25,Tuesday
2019-06-19,5070000,2019,6,25,Wednesday
2019-06-20,4680000,2019,6,25,Thursday
2019-06-21,8810000,2019,6,25,Friday
2019-06-22,7680000,2019,6,25,Saturday
2019-06-23,4945000,2019,6,25,Sunday
2019-06-24,6200000,2019,6,26,Monday
2019-06-25,8560000,2019,6,26,Tuesday
2019-06-26,5535000,2019,6,26,Wednesday
2019-06-27,5730000,2019,6,26,Thursday
2019-06-28,7470000,2019,6,26,Friday
2019-06-29,5505000,2019,6,26,Saturday
2019-06-30,7600000,2019,6,26,Sunday
2019-07-01,7890000,2019,7,27,Monday
2019-07-02,3935000,2019,7,27,Tuesday
2019-07-03,5105000,2019,7,27,Wednesday
2019-07-04,6035000,2019,7,27,Thursday
2019-07-05,8380000,2019,7,27,Friday
2019-07-06,6740000,2019,7,27,Saturday
2019-07-07,5990000,2019,7,27,Sunday
2019-07-08,5335000,2019,7,28,Monday
2019-07-09,7905000,2019,7,28,Tuesday
2019-07-10,6140000,2019,7,28,Wednesday
2019-07-11,6380000,2019,7,28,Thursday
2019-07-12,5190000,2019,7,28,Friday
2019-07-13,6805000,2019,7,28,Saturday
2019-07-14,6395000,2019,7,28,Sunday
2019-07-15,7190000,2019,7,29,Monday
2019-07-16,3670000,2019,7,29,Tuesday
2019-07-17,5155000,2019,7,29,Wednesday
2019-07-18,7365000,2019,7,29,Thursday
2019-07-19,5980000,2019,7,29,Friday
2019-07-20,7625000,2019,7,29,Saturday
2019-07-21,6325000,2019,7,29,Sunday
2019-07-22,4155000,2019,7,30,Monday
2019-07-23,5545000,2019,7,30,Tuesday
2019-07-24,6705000,2019,7,30,Wednesday
2019-07-25,4370000,2019,7,30,Thursday
2019-07-26,4580000,2019,7,30,Friday
2019-07-27,4940000,2019,7,30,Saturday
2019-07-28,7405000,2019,7,30,Sunday
2019-07-29,5965000,2019,7,31,Monday
2019-07-30,7585000,2019,7,31,Tuesday
2019-07-31,5900000,2019,7,31,Wednesday
