transaction_id,price,payment_date,customer_id,detail_id,item_id,quantity
T0000000113,210000,2019-02-01 01:36:57,PL563502,0,S005,1
T0000000114,50000,2019-02-01 01:37:23,HD678019,1,S001,1
T0000000115,120000,2019-02-01 02:34:19,HD298120,2,S003,1
T0000000116,210000,2019-02-01 02:47:23,IK452215,3,S005,1
T0000000117,170000,2019-02-01 04:33:46,PL542865,4,S002,2
T0000000118,120000,2019-02-01 04:36:50,GD372798,5,S003,1
T0000000119,180000,2019-02-01 05:25:18,IK782104,6,S004,1
T0000000120,50000,2019-02-01 06:22:39,IK624245,7,S001,1
T0000000121,210000,2019-02-01 06:40:14,HD218970,8,S005,1
T0000000122,85000,2019-02-01 08:10:23,AS912483,9,S002,1
T0000000123,50000,2019-02-01 09:32:27,OA336650,10,S001,1
T0000000124,120000,2019-02-01 11:27:33,OA207651,11,S003,1
T0000000125,180000,2019-02-01 13:14:47,TS419694,12,S004,1
T0000000126,170000,2019-02-01 13:46:10,HD068817,13,S002,2
T0000000127,85000,2019-02-01 14:14:13,OA041301,14,S002,1
T0000000128,210000,2019-02-01 17:20:02,IK234815,15,S005,1
T0000000129,50000,2019-02-01 18:08:59,TS146087,16,S001,1
T0000000130,210000,2019-02-01 19:44:40,AS614406,17,S005,1
T0000000131,85000,2019-02-01 20:00:24,PL964421,18,S002,1
T0000000132,180000,2019-02-01 20:36:30,AS642796,19,S004,1
T0000000133,210000,2019-02-01 20:51:11,GD648354,20,S005,1
T0000000134,150000,2019-02-01 22:08:51,TS701801,21,S001,3
T0000000135,100000,2019-02-01 22:37:32,GD362521,22,S001,2
T0000000136,120000,2019-02-01 23:18:16,OA041099,23,S003,1
T0000000137,210000,2019-02-01 23:35:49,GD029189,24,S005,1
T0000000138,50000,2019-02-01 23:40:34,GD241254,25,S001,1
T0000000139,100000,2019-02-02 00:10:42,AS220894,26,S001,2
T0000000140,150000,2019-02-02 00:17:54,IK548249,27,S001,3
T0000000141,210000,2019-02-02 00:18:02,HI830026,28,S005,1
T0000000142,100000,2019-02-02 00:18:38,IK429683,29,S001,2
